OutwardCode,CityName
B97,Birmingham
B98,Birmingham
B99,Birmingham
BA1,Bath
BA10,Bath
BA11,Bath
BA12,Bath
BA13,Bath
BA14,Bath
BA15,Bath
BA16,Bath
BA17,Bath
BA18,Bath
BA19,Bath
BA2,Bath
BA20,Bath
BA21,Bath
BA3,Bath
BA4,Bath
BA5,Bath
BA6,Bath
BA7,Bath
BA8,Bath
BA9,Bath
BB1,Blackburn
BB10,Blackburn
BB11,Blackburn
BB12,Blackburn
BB13,Blackburn
BB14,Blackburn
BB15,Blackburn
BB16,Blackburn
BB17,Blackburn
BB18,Blackburn
BB2,Blackburn
BB3,Blackburn
BB4,Blackburn
BB5,Blackburn
BB6,Blackburn
BB7,Blackburn
BB8,Blackburn
BB9,Blackburn
BD1,Bradford
BD10,Bradford
BD11,Bradford
BD12,Bradford
BD13,Bradford
BD14,Bradford
BD15,Bradford
BD16,Bradford
BD17,Bradford
BD18,Bradford
BD19,Bradford
BD2,Bradford
BD20,Bradford
BD21,Bradford
BD22,Bradford
BD23,Bradford
BD24,Bradford
BD3,Bradford
BD4,Bradford
BD5,Bradford
BD6,Bradford
BD7,Bradford
BD8,Bradford
BD9,Bradford
BH1,Bournemouth
BH10,Bournemouth
BH11,Bournemouth
BH12,Bournemouth
BH13,Bournemouth
BH14,Bournemouth
BH15,Bournemouth
BH16,Bournemouth
BH17,Bournemouth
BH18,Bournemouth
BH19,Bournemouth
BH2,Bournemouth
BH20,Bournemouth
BH21,Bournemouth
BH22,Bournemouth
BH23,Bournemouth
BH24,Bournemouth
BH25,Bournemouth
BH3,Bournemouth
BH4,Bournemouth
BH5,Bournemouth
BH6,Bournemouth
BH7,Bournemouth
BH8,Bournemouth
BH9,Bournemouth
BL0,Bolton
BL1,Bolton
BL2,Bolton
BL3,Bolton
BL4,Bolton
BL5,Bolton
BL6,Bolton
BL7,Bolton
BL8,Bolton
BL9,Bolton
BN1,Brighton
BN10,Brighton
BN11,Brighton
BN12,Brighton
BN13,Brighton
BN14,Brighton
BN15,Brighton
BN16,Brighton
BN17,Brighton
BN18,Brighton
BN19,Brighton
BN2,Brighton
BN20,Brighton
BN21,Brighton
BN22,Brighton
BN23,Brighton
BN24,Brighton
BN25,Brighton
BN26,Brighton
BN27,Brighton
BN28,Brighton
BN29,Brighton
BN3,Brighton
BN30,Brighton
BN31,Brighton
BN32,Brighton
BN33,Brighton
BN34,Brighton
BN35,Brighton
BN36,Brighton
BN37,Brighton
BN38,Brighton
BN39,Brighton
BN4,Brighton
BN40,Brighton
BN41,Brighton
BN42,Brighton
BN43,Brighton
BN44,Brighton
BN45,Brighton
BN5,Brighton
BN6,Brighton
BN7,Brighton
BN8,Brighton
BN9,Brighton
BR1,Bromley
BR2,Bromley
BR3,Bromley
BR4,Bromley
BR5,Bromley
BR6,Bromley
BR7,Bromley
BR8,Bromley
BS1,Bristol
BS10,Bristol
BS11,Bristol
BS12,Bristol
BS13,Bristol
BS14,Bristol
BS15,Bristol
BS16,Bristol
BS2,Bristol
BS3,Bristol
BS4,Bristol
BS5,Bristol
BS6,Bristol
BS7,Bristol
BS8,Bristol
BS9,Bristol
BT1,Belfast
BT10,Belfast
BT11,Belfast
BT12,Belfast
BT13,Belfast
BT14,Belfast
BT15,Belfast
BT16,Belfast
BT17,Belfast
BT18,Belfast
BT19,Belfast
BT2,Belfast
BT20,Belfast
BT21,Belfast
BT22,Belfast
BT23,Belfast
BT24,Belfast
BT25,Belfast
BT26,Belfast
BT27,Belfast
BT28,Belfast
BT29,Belfast
BT3,Belfast
BT30,Belfast
BT31,Belfast
BT32,Belfast
BT33,Belfast
BT34,Belfast
BT35,Belfast
BT36,Belfast
BT37,Belfast
BT38,Belfast
BT39,Belfast
BT4,Belfast
BT40,Belfast
BT41,Belfast
BT42,Belfast
BT43,Belfast
BT44,Belfast
BT45,Belfast
BT46,Belfast
BT47,Belfast
BT48,Belfast
BT49,Belfast
BT5,Belfast
BT50,Belfast
BT51,Belfast
BT52,Belfast
BT53,Belfast
BT54,Belfast
BT55,Belfast
BT56,Belfast
BT57,Belfast
BT58,Belfast
BT59,Belfast
BT6,Belfast
BT60,Belfast
BT61,Belfast
BT62,Belfast
BT63,Belfast
BT64,Belfast
BT65,Belfast
BT66,Belfast
BT67,Belfast
BT68,Belfast
BT69,Belfast
BT7,Belfast
BT70,Belfast
BT71,Belfast
BT72,Belfast
BT73,Belfast
BT74,Belfast
BT75,Belfast
BT76,Belfast
BT77,Belfast
BT78,Belfast
BT79,Belfast
BT8,Belfast
BT80,Belfast
BT81,Belfast
BT82,Belfast
BT83,Belfast
BT84,Belfast
BT85,Belfast
BT86,Belfast
BT87,Belfast
BT88,Belfast
BT89,Belfast
BT9,Belfast
BT90,Belfast
BT91,Belfast
BT92,Belfast
BT93,Belfast
BT94,Belfast
BT95,Belfast
BT96,Belfast
BT97,Belfast
BT98,Belfast
BT99,Belfast
CA1,Carlisle
CA10,Carlisle
CA11,Carlisle
CA12,Carlisle
CA13,Carlisle
CA14,Carlisle
CA15,Carlisle
CA16,Carlisle
CA17,Carlisle
CA18,Carlisle
CA19,Carlisle
CA2,Carlisle
CA20,Carlisle
CA21,Carlisle
CA22,Carlisle
CA23,Carlisle
CA24,Carlisle
CA25,Carlisle
CA26,Carlisle
CA27,Carlisle
CA28,Carlisle
CA3,Carlisle
CA4,Carlisle
CA5,Carlisle
CA6,Carlisle
CA7,Carlisle
CA8,Carlisle
CA9,Carlisle
CB1,Cambridge
CB10,Cambridge
CB11,Cambridge
CB12,Cambridge
CB13,Cambridge
CB14,Cambridge
CB15,Cambridge
CB16,Cambridge
CB17,Cambridge
CB18,Cambridge
CB19,Cambridge
CB2,Cambridge
CB20,Cambridge
CB21,Cambridge
CB22,Cambridge
CB23,Cambridge
CB24,Cambridge
CB25,Cambridge
CB3,Cambridge
CB4,Cambridge
CB5,Cambridge
CB6,Cambridge
CB7,Cambridge
CB8,Cambridge
CB9,Cambridge
CF1,Cardiff
CF10,Cardiff
CF11,Cardiff
CF12,Cardiff
CF13,Cardiff
CF14,Cardiff
CF15,Cardiff
CF16,Cardiff
CF17,Cardiff
CF18,Cardiff
CF19,Cardiff
CF2,Cardiff
CF20,Cardiff
CF21,Cardiff
CF22,Cardiff
CF23,Cardiff
CF24,Cardiff
CF25,Cardiff
CF26,Cardiff
CF27,Cardiff
CF28,Cardiff
CF29,Cardiff
CF3,Cardiff
CF30,Cardiff
CF31,Cardiff
CF32,Cardiff
CF33,Cardiff
CF34,Cardiff
CF35,Cardiff
CF36,Cardiff
CF37,Cardiff
CF38,Cardiff
CF39,Cardiff
CF4,Cardiff
CF40,Cardiff
CF41,Cardiff
CF42,Cardiff
CF43,Cardiff
CF44,Cardiff
CF45,Cardiff
CF46,Cardiff
CF47,Cardiff
CF5,Cardiff
CF6,Cardiff
CF7,Cardiff
CF8,Cardiff
CF9,Cardiff
CH1,Chester
CH10,Chester
CH11,Chester
CH12,Chester
CH13,Chester
CH14,Chester
CH15,Chester
CH16,Chester
CH17,Chester
CH18,Chester
CH19,Chester
CH2,Chester
CH20,Chester
CH21,Chester
CH22,Chester
CH23,Chester
CH24,Chester
CH25,Chester
CH26,Chester
CH27,Chester
CH28,Chester
CH29,Chester
CH3,Chester
CH30,Chester
CH31,Chester
CH32,Chester
CH33,Chester
CH34,Chester
CH35,Chester
CH36,Chester
CH37,Chester
CH38,Chester
CH39,Chester
CH4,Chester
CH40,Chester
CH41,Chester
CH42,Chester
CH43,Chester
CH44,Chester
CH45,Chester
CH46,Chester
CH47,Chester
CH48,Chester
CH49,Chester
CH5,Chester
CH50,Chester
CH51,Chester
CH52,Chester
CH53,Chester
CH54,Chester
CH55,Chester
CH56,Chester
CH57,Chester
CH58,Chester
CH59,Chester
CH6,Chester
CH60,Chester
CH61,Chester
CH62,Chester
CH63,Chester
CH64,Chester
CH65,Chester
CH66,Chester
CH7,Chester
CH8,Chester
CH9,Chester
CM0,Chelmsford
CM1,Chelmsford
CM10,Chelmsford
CM11,Chelmsford
CM12,Chelmsford
CM13,Chelmsford
CM14,Chelmsford
CM15,Chelmsford
CM16,Chelmsford
CM17,Chelmsford
CM18,Chelmsford
CM19,Chelmsford
CM2,Chelmsford
CM20,Chelmsford
CM21,Chelmsford
CM22,Chelmsford
CM23,Chelmsford
CM3,Chelmsford
CM4,Chelmsford
CM5,Chelmsford
CM6,Chelmsford
CM7,Chelmsford
CM8,Chelmsford
CM9,Chelmsford
CO1,Colchester
CO10,Colchester
CO11,Colchester
CO12,Colchester
CO13,Colchester
CO14,Colchester
CO15,Colchester
CO16,Colchester
CO2,Colchester
CO3,Colchester
CO4,Colchester
CO5,Colchester
CO6,Colchester
CO7,Colchester
CO8,Colchester
CO9,Colchester
CR0,Croydon
CR1,Croydon
CR2,Croydon
CR3,Croydon
CR4,Croydon
CR5,Croydon
CR6,Croydon
CR7,Croydon
CR8,Croydon
CR9,Croydon
CT1,Canterbury
CT10,Canterbury
CT11,Canterbury
CT12,Canterbury
CT13,Canterbury
CT14,Canterbury
CT15,Canterbury
CT16,Canterbury
CT17,Canterbury
CT18,Canterbury
CT19,Canterbury
CT2,Canterbury
CT20,Canterbury
CT21,Canterbury
CT3,Canterbury
CT4,Canterbury
CT5,Canterbury
CT6,Canterbury
CT7,Canterbury
CT8,Canterbury
CT9,Canterbury
CV0,Coventry
CV1,Coventry
CV10,Coventry
CV11,Coventry
CV12,Coventry
CV13,Coventry
CV14,Coventry
CV15,Coventry
CV16,Coventry
CV17,Coventry
CV18,Coventry
CV19,Coventry
CV2,Coventry
CV20,Coventry
CV21,Coventry
CV22,Coventry
CV23,Coventry
CV24,Coventry
CV25,Coventry
CV26,Coventry
CV27,Coventry
CV28,Coventry
CV29,Coventry
CV3,Coventry
CV30,Coventry
CV31,Coventry
CV32,Coventry
CV33,Coventry
CV34,Coventry
CV35,Coventry
CV36,Coventry
CV37,Coventry
CV38,Coventry
CV39,Coventry
CV4,Coventry
CV40,Coventry
CV41,Coventry
CV42,Coventry
CV43,Coventry
CV44,Coventry
CV45,Coventry
CV46,Coventry
CV47,Coventry
CV5,Coventry
CV6,Coventry
CV7,Coventry
CV8,Coventry
CV9,Coventry
CW1,Crewe
CW10,Crewe
CW11,Crewe
CW12,Crewe
CW2,Crewe
CW3,Crewe
CW4,Crewe
CW5,Crewe
CW6,Crewe
CW7,Crewe
CW8,Crewe
CW9,Crewe
DA1,Dartford
DA10,Dartford
DA11,Dartford
DA12,Dartford
DA13,Dartford
DA14,Dartford
DA2,Dartford
DA3,Dartford
DA4,Dartford
DA5,Dartford
DA6,Dartford
DA7,Dartford
DA8,Dartford
DA9,Dartford
DD1,Dundee
DD10,Dundee
DD11,Dundee
DD2,Dundee
DD3,Dundee
DD4,Dundee
DD5,Dundee
DD6,Dundee
DD7,Dundee
DD8,Dundee
DD9,Dundee
DE1,Derby
DE10,Derby
DE11,Derby
DE12,Derby
DE13,Derby
DE14,Derby
DE15,Derby
DE16,Derby
DE17,Derby
DE18,Derby
DE19,Derby
DE2,Derby
DE20,Derby
DE21,Derby
DE22,Derby
DE23,Derby
DE24,Derby
DE25,Derby
DE26,Derby
DE27,Derby
DE28,Derby
DE29,Derby
DE3,Derby
DE30,Derby
DE31,Derby
DE32,Derby
DE33,Derby
DE34,Derby
DE35,Derby
DE36,Derby
DE37,Derby
DE38,Derby
DE39,Derby
DE4,Derby
DE40,Derby
DE41,Derby
DE42,Derby
DE43,Derby
DE44,Derby
DE45,Derby
DE46,Derby
DE47,Derby
DE48,Derby
DE49,Derby
DE5,Derby
DE50,Derby
DE51,Derby
DE52,Derby
DE53,Derby
DE54,Derby
DE55,Derby
DE56,Derby
DE57,Derby
DE58,Derby
DE59,Derby
DE6,Derby
DE60,Derby
DE61,Derby
DE62,Derby
DE63,Derby
DE64,Derby
DE65,Derby
DE66,Derby
DE67,Derby
DE68,Derby
DE69,Derby
DE7,Derby
DE70,Derby
DE71,Derby
DE72,Derby
DE73,Derby
DE74,Derby
DE75,Derby
DE8,Derby
DE9,Derby
DG1,Dumfries
DG10,Dumfries
DG11,Dumfries
DG12,Dumfries
DG13,Dumfries
DG14,Dumfries
DG15,Dumfries
DG16,Dumfries
DG2,Dumfries
DG3,Dumfries
DG4,Dumfries
DG5,Dumfries
DG6,Dumfries
DG7,Dumfries
DG8,Dumfries
DG9,Dumfries
DH1,Durham
DH2,Durham
DH3,Durham
DH4,Durham
DH5,Durham
DH6,Durham
DH7,Durham
DH8,Durham
DH9,Durham
DL1,Darlington
DL10,Darlington
DL11,Darlington
DL12,Darlington
DL13,Darlington
DL14,Darlington
DL15,Darlington
DL16,Darlington
DL17,Darlington
DL2,Darlington
DL3,Darlington
DL4,Darlington
DL5,Darlington
DL6,Darlington
DL7,Darlington
DL8,Darlington
DL9,Darlington
DN1,Doncaster
DN10,Doncaster
DN11,Doncaster
DN12,Doncaster
DN13,Doncaster
DN14,Doncaster
DN15,Doncaster
DN16,Doncaster
DN17,Doncaster
DN18,Doncaster
DN19,Doncaster
DN2,Doncaster
DN20,Doncaster
DN21,Doncaster
DN22,Doncaster
DN23,Doncaster
DN24,Doncaster
DN25,Doncaster
DN26,Doncaster
DN27,Doncaster
DN28,Doncaster
DN29,Doncaster
DN3,Doncaster
DN30,Doncaster
DN31,Doncaster
DN32,Doncaster
DN33,Doncaster
DN34,Doncaster
DN35,Doncaster
DN36,Doncaster
DN37,Doncaster
DN38,Doncaster
DN39,Doncaster
DN4,Doncaster
DN40,Doncaster
DN5,Doncaster
DN6,Doncaster
DN7,Doncaster
DN8,Doncaster
DN9,Doncaster
DT1,Dorchester
DT10,Dorchester
DT11,Dorchester
DT2,Dorchester
DT3,Dorchester
DT4,Dorchester
DT5,Dorchester
DT6,Dorchester
DT7,Dorchester
DT8,Dorchester
DT9,Dorchester
DY1,Dudley
DY10,Dudley
DY11,Dudley
DY12,Dudley
DY13,Dudley
DY2,Dudley
DY3,Dudley
DY4,Dudley
DY5,Dudley
DY6,Dudley
DY7,Dudley
DY8,Dudley
DY9,Dudley
E1,London
E10,London
E11,London
E12,London
E13,London
E14,London
E15,London
E16,London
E17,London
E18,London
E2,London
E3,London
E4,London
E5,London
E6,London
E7,London
E8,London
E9,London
EC1,London
EC2,London
EC3,London
EC4,London
EH1,Edinburgh
EH10,Edinburgh
EH11,Edinburgh
EH12,Edinburgh
EH13,Edinburgh
EH14,Edinburgh
EH15,Edinburgh
EH16,Edinburgh
EH17,Edinburgh
EH18,Edinburgh
EH19,Edinburgh
EH2,Edinburgh
EH20,Edinburgh
EH21,Edinburgh
EH22,Edinburgh
EH23,Edinburgh
EH24,Edinburgh
EH25,Edinburgh
EH26,Edinburgh
EH27,Edinburgh
EH28,Edinburgh
EH29,Edinburgh
EH3,Edinburgh
EH30,Edinburgh
EH31,Edinburgh
EH32,Edinburgh
EH33,Edinburgh
EH34,Edinburgh
EH35,Edinburgh
EH36,Edinburgh
EH37,Edinburgh
EH38,Edinburgh
EH39,Edinburgh
EH4,Edinburgh
EH40,Edinburgh
EH41,Edinburgh
EH42,Edinburgh
EH43,Edinburgh
EH44,Edinburgh
EH45,Edinburgh
EH46,Edinburgh
EH47,Edinburgh
EH48,Edinburgh
EH49,Edinburgh
EH5,Edinburgh
EH50,Edinburgh
EH51,Edinburgh
EH52,Edinburgh
EH53,Edinburgh
EH54,Edinburgh
EH55,Edinburgh
EH56,Edinburgh
EH57,Edinburgh
EH58,Edinburgh
EH59,Edinburgh
EH6,Edinburgh
EH60,Edinburgh
EH61,Edinburgh
EH62,Edinburgh
EH63,Edinburgh
EH64,Edinburgh
EH65,Edinburgh
EH66,Edinburgh
EH67,Edinburgh
EH68,Edinburgh
EH69,Edinburgh
EH7,Edinburgh
EH70,Edinburgh
EH71,Edinburgh
EH72,Edinburgh
EH73,Edinburgh
EH74,Edinburgh
EH75,Edinburgh
EH76,Edinburgh
EH77,Edinburgh
EH78,Edinburgh
EH79,Edinburgh
EH8,Edinburgh
EH80,Edinburgh
EH81,Edinburgh
EH82,Edinburgh
EH83,Edinburgh
EH84,Edinburgh
EH85,Edinburgh
EH86,Edinburgh
EH87,Edinburgh
EH88,Edinburgh
EH89,Edinburgh
EH9,Edinburgh
EH90,Edinburgh
EH91,Edinburgh
EH92,Edinburgh
EH93,Edinburgh
EH94,Edinburgh
EH95,Edinburgh
EH96,Edinburgh
EH97,Edinburgh
EH98,Edinburgh
EH99,Edinburgh
EN1,Enfield
EN10,Enfield
EN11,Enfield
EN2,Enfield
EN3,Enfield
EN4,Enfield
EN5,Enfield
EN6,Enfield
EN7,Enfield
EN8,Enfield
EN9,Enfield
EX1,Exeter
EX10,Exeter
EX11,Exeter
EX12,Exeter
EX13,Exeter
EX14,Exeter
EX15,Exeter
EX16,Exeter
EX17,Exeter
EX18,Exeter
EX19,Exeter
EX2,Exeter
EX20,Exeter
EX21,Exeter
EX22,Exeter
EX23,Exeter
EX3,Exeter
EX4,Exeter
EX5,Exeter
EX6,Exeter
EX7,Exeter
EX8,Exeter
EX9,Exeter
FK1,Falkirk
FK10,Falkirk
FK11,Falkirk
FK12,Falkirk
FK13,Falkirk
FK14,Falkirk
FK15,Falkirk
FK16,Falkirk
FK17,Falkirk
FK18,Falkirk
FK19,Falkirk
FK2,Falkirk
FK20,Falkirk
FK21,Falkirk
FK3,Falkirk
FK4,Falkirk
FK5,Falkirk
FK6,Falkirk
FK7,Falkirk
FK8,Falkirk
FK9,Falkirk
FY0,Blackpool
FY1,Blackpool
FY2,Blackpool
FY3,Blackpool
FY4,Blackpool
FY5,Blackpool
FY6,Blackpool
FY7,Blackpool
FY8,Blackpool
G0,Glasgow
G1,Glasgow
G10,Glasgow
G11,Glasgow
G12,Glasgow
G13,Glasgow
G14,Glasgow
G15,Glasgow
G16,Glasgow
G17,Glasgow
G18,Glasgow
G19,Glasgow
G2,Glasgow
G20,Glasgow
G21,Glasgow
G22,Glasgow
G23,Glasgow
G24,Glasgow
G25,Glasgow
G26,Glasgow
G27,Glasgow
G28,Glasgow
G29,Glasgow
G3,Glasgow
G30,Glasgow
G31,Glasgow
G32,Glasgow
G33,Glasgow
G34,Glasgow
G35,Glasgow
G36,Glasgow
G37,Glasgow
G38,Glasgow
G39,Glasgow
G4,Glasgow
G40,Glasgow
G41,Glasgow
G42,Glasgow
G43,Glasgow
G44,Glasgow
G45,Glasgow
G46,Glasgow
G47,Glasgow
G48,Glasgow
G49,Glasgow
G5,Glasgow
G50,Glasgow
G51,Glasgow
G52,Glasgow
G53,Glasgow
G54,Glasgow
G55,Glasgow
G56,Glasgow
G57,Glasgow
G58,Glasgow
G59,Glasgow
G6,Glasgow
G60,Glasgow
G61,Glasgow
G62,Glasgow
G63,Glasgow
G64,Glasgow
G65,Glasgow
G66,Glasgow
G67,Glasgow
G68,Glasgow
G69,Glasgow
G7,Glasgow
G70,Glasgow
G71,Glasgow
G72,Glasgow
G73,Glasgow
G74,Glasgow
G75,Glasgow
G76,Glasgow
G77,Glasgow
G78,Glasgow
G79,Glasgow
G8,Glasgow
G80,Glasgow
G81,Glasgow
G82,Glasgow
G83,Glasgow
G84,Glasgow
G85,Glasgow
G86,Glasgow
G87,Glasgow
G88,Glasgow
G89,Glasgow
G9,Glasgow
G90,Glasgow
G91,Glasgow
G92,Glasgow
G93,Glasgow
G94,Glasgow
G95,Glasgow
G96,Glasgow
G97,Glasgow
G98,Glasgow
G99,Glasgow
GL1,Gloucester
GL10,Gloucester
GL11,Gloucester
GL12,Gloucester
GL13,Gloucester
GL14,Gloucester
GL15,Gloucester
GL16,Gloucester
GL17,Gloucester
GL18,Gloucester
GL19,Gloucester
GL2,Gloucester
GL20,Gloucester
GL21,Gloucester
GL22,Gloucester
GL23,Gloucester
GL24,Gloucester
GL25,Gloucester
GL26,Gloucester
GL27,Gloucester
GL28,Gloucester
GL29,Gloucester
GL3,Gloucester
GL30,Gloucester
GL31,Gloucester
GL32,Gloucester
GL33,Gloucester
GL34,Gloucester
GL35,Gloucester
GL36,Gloucester
GL37,Gloucester
GL38,Gloucester
GL39,Gloucester
GL4,Gloucester
GL40,Gloucester
GL41,Gloucester
GL42,Gloucester
GL43,Gloucester
GL44,Gloucester
GL45,Gloucester
GL46,Gloucester
GL47,Gloucester
GL48,Gloucester
GL49,Gloucester
GL5,Gloucester
GL50,Gloucester
GL51,Gloucester
GL52,Gloucester
GL53,Gloucester
GL54,Gloucester
GL55,Gloucester
GL56,Gloucester
GL6,Gloucester
GL7,Gloucester
GL8,Gloucester
GL9,Gloucester
GU1,Guildford
GU10,Guildford
GU11,Guildford
GU12,Guildford
GU13,Guildford
GU14,Guildford
GU15,Guildford
GU16,Guildford
GU17,Guildford
GU18,Guildford
GU19,Guildford
GU2,Guildford
GU20,Guildford
GU21,Guildford
GU22,Guildford
GU23,Guildford
GU24,Guildford
GU25,Guildford
GU26,Guildford
GU27,Guildford
GU28,Guildford
GU29,Guildford
GU3,Guildford
GU30,Guildford
GU31,Guildford
GU32,Guildford
GU33,Guildford
GU34,Guildford
GU35,Guildford
GU4,Guildford
GU5,Guildford
GU6,Guildford
GU7,Guildford
GU8,Guildford
GU9,Guildford
HA0,Harrow
HA1,Harrow
HA2,Harrow
HA3,Harrow
HA4,Harrow
HA5,Harrow
HA6,Harrow
HA7,Harrow
HA8,Harrow
HA9,Harrow
HD1,Huddersfield
HD2,Huddersfield
HD3,Huddersfield
HD4,Huddersfield
HD5,Huddersfield
HD6,Huddersfield
HD7,Huddersfield
HD8,Huddersfield
HG1,Harrogate
HG2,Harrogate
HG3,Harrogate
HG4,Harrogate
HG5,Harrogate
HP1,Hemel Hempstead
HP10,Hemel Hempstead
HP11,Hemel Hempstead
HP12,Hemel Hempstead
HP13,Hemel Hempstead
HP14,Hemel Hempstead
HP15,Hemel Hempstead
HP16,Hemel Hempstead
HP17,Hemel Hempstead
HP18,Hemel Hempstead
HP19,Hemel Hempstead
HP2,Hemel Hempstead
HP20,Hemel Hempstead
HP21,Hemel Hempstead
HP22,Hemel Hempstead
HP23,Hemel Hempstead
HP3,Hemel Hempstead
HP4,Hemel Hempstead
HP5,Hemel Hempstead
HP6,Hemel Hempstead
HP7,Hemel Hempstead
HP8,Hemel Hempstead
HP9,Hemel Hempstead
HR1,Hereford
HR2,Hereford
HR3,Hereford
HR4,Hereford
HR5,Hereford
HR6,Hereford
HR7,Hereford
HR8,Hereford
HR9,Hereford
HU1,Hull
HU10,Hull
HU11,Hull
HU12,Hull
HU13,Hull
HU14,Hull
HU15,Hull
HU16,Hull
HU17,Hull
HU2,Hull
HU3,Hull
HU4,Hull
HU5,Hull
HU6,Hull
HU7,Hull
HU8,Hull
HU9,Hull
HX1,Halifax
HX2,Halifax
HX3,Halifax
HX4,Halifax
HX5,Halifax
HX6,Halifax
HX7,Halifax
IG1,Ilford
IG10,Ilford
IG11,Ilford
IG2,Ilford
IG3,Ilford
IG4,Ilford
IG5,Ilford
IG6,Ilford
IG7,Ilford
IG8,Ilford
IG9,Ilford
IP1,Ipswich
IP10,Ipswich
IP11,Ipswich
IP12,Ipswich
IP13,Ipswich
IP14,Ipswich
IP15,Ipswich
IP16,Ipswich
IP17,Ipswich
IP18,Ipswich
IP19,Ipswich
IP2,Ipswich
IP20,Ipswich
IP21,Ipswich
IP22,Ipswich
IP23,Ipswich
IP24,Ipswich
IP25,Ipswich
IP26,Ipswich
IP27,Ipswich
IP28,Ipswich
IP29,Ipswich
IP3,Ipswich
IP30,Ipswich
IP31,Ipswich
IP32,Ipswich
IP33,Ipswich
IP4,Ipswich
IP5,Ipswich
IP6,Ipswich
IP7,Ipswich
IP8,Ipswich
IP9,Ipswich
IV0,Inverness
IV1,Inverness
IV10,Inverness
IV11,Inverness
IV12,Inverness
IV13,Inverness
IV14,Inverness
IV15,Inverness
IV16,Inverness
IV17,Inverness
IV18,Inverness
IV19,Inverness
IV2,Inverness
IV20,Inverness
IV21,Inverness
IV22,Inverness
IV23,Inverness
IV24,Inverness
IV25,Inverness
IV26,Inverness
IV27,Inverness
IV28,Inverness
IV29,Inverness
IV3,Inverness
IV30,Inverness
IV31,Inverness
IV32,Inverness
IV33,Inverness
IV34,Inverness
IV35,Inverness
IV36,Inverness
IV37,Inverness
IV38,Inverness
IV39,Inverness
IV4,Inverness
IV40,Inverness
IV41,Inverness
IV42,Inverness
IV43,Inverness
IV44,Inverness
IV45,Inverness
IV46,Inverness
IV47,Inverness
IV48,Inverness
IV49,Inverness
IV5,Inverness
IV50,Inverness
IV51,Inverness
IV52,Inverness
IV53,Inverness
IV54,Inverness
IV55,Inverness
IV56,Inverness
